,,update_count,driving_time,routes
769,768,2,1.0,"['10', '10']"
768,771,2,0.0,"['10', '10']"
771,775,2,1.0,"['10', '10']"
775,772,2,0.0,"['10', '10']"
772,1029,6,1.0,"['10', '10', '39', '39', '39', '39']"
1029,1020,6,0.0,"['10', '10', '39', '39', '39', '39']"
1020,1030,6,0.6000000000000001,"['10', '10', '39', '39', '39', '39']"
1030,1046,6,0.4,"['10', '10', '39', '39', '39', '39']"
1046,1045,6,0.4,"['10', '10', '39', '39', '39', '39']"
1045,783,6,0.4,"['10', '10', '39', '39', '39', '39']"
783,1796,2,1.0,"['10', '10']"
1796,103,2,1.0,"['10', '10']"
103,106,2,0.0,"['10', '10']"
106,785,2,1.0,"['10', '10']"
785,114,2,1.0,"['10', '10']"
114,1022,2,0.0,"['10', '10']"
1022,1047,2,1.0,"['10', '10']"
1047,1028,2,0.0,"['10', '10']"
1028,1052,2,1.0,"['10', '10']"
1052,792,2,1.0,"['10', '10']"
792,1811,6,0.0,"['10', '10', '39', '39', '39', '39']"
1811,1810,1,0.0,['10']
1810,792,2,1.0,"['10', '10']"
792,1052,3,1.0,"['10', '10', '10']"
1052,1025,3,0.5,"['10', '10', '10']"
1025,1028,3,0.5,"['10', '10', '10']"
1028,1047,3,0.5,"['10', '10', '10']"
1047,1022,3,0.5,"['10', '10', '10']"
1022,785,3,0.5,"['10', '10', '10']"
785,106,3,1.0,"['10', '10', '10']"
106,103,3,1.0,"['10', '10', '10']"
103,1796,3,0.0,"['10', '10', '10']"
1796,783,3,1.0,"['10', '10', '10']"
783,1045,4,0.33333333333333337,"['10', '10', '10', '39']"
1045,1046,4,0.6666666666666667,"['10', '10', '10', '39']"
1046,1031,4,0.33333333333333337,"['10', '10', '10', '39']"
1031,1030,4,1.0,"['10', '10', '10', '39']"
1030,1020,4,0.6666666666666667,"['10', '10', '10', '39']"
1020,1029,4,0.33333333333333337,"['10', '10', '10', '39']"
1029,772,4,1.0,"['10', '10', '10', '39']"
772,775,3,1.0,"['10', '10', '10']"
775,771,3,0.0,"['10', '10', '10']"
771,768,3,0.0,"['10', '10', '10']"
768,769,3,1.0,"['10', '10', '10']"
769,774,3,0.0,"['10', '10', '10']"
774,770,3,1.0,"['10', '10', '10']"
728,725,3,0.0,"['10', '10', '10']"
725,729,3,0.5,"['10', '10', '10']"
729,734,3,1.0,"['10', '10', '10']"
734,730,3,0.5,"['10', '10', '10']"
730,736,3,1.0,"['10', '10', '10']"
736,733,3,1.0,"['10', '10', '10']"
733,101,3,1.0,"['10', '10', '10']"
101,731,3,1.0,"['10', '10', '10']"
731,727,6,1.4,"['10', '10', '10', '9', '9', '9']"
727,882,3,1.0,"['10', '10', '10']"
882,726,5,1.0,"['10', '10', '10', '11', '11']"
726,549,5,0.5,"['10', '10', '10', '11', '11']"
549,732,7,0.16666666666666669,"['10', '10', '10', '11', '11', '8', '8']"
732,735,7,1.0,"['10', '10', '10', '11', '11', '8', '8']"
735,23,5,0.5,"['10', '10', '10', '8', '8']"
23,1688,5,0.5,"['10', '10', '10', '8', '8']"
1688,1690,5,1.0,"['10', '10', '10', '8', '8']"
1690,1686,5,0.75,"['10', '10', '10', '8', '8']"
1686,532,5,0.25,"['10', '10', '10', '8', '8']"
532,229,3,1.0,"['10', '10', '10']"
229,1689,3,0.0,"['10', '10', '10']"
1689,234,3,1.0,"['10', '10', '10']"
234,1687,3,0.0,"['10', '10', '10']"
1687,1017,3,1.0,"['10', '10', '10']"
1017,859,3,1.0,"['10', '10', '10']"
859,856,3,0.0,"['10', '10', '10']"
856,251,3,1.0,"['10', '10', '10']"
251,861,3,1.0,"['10', '10', '10']"
861,855,3,0.5,"['10', '10', '10']"
855,258,3,0.5,"['10', '10', '10']"
258,862,3,0.5,"['10', '10', '10']"
862,860,3,1.0,"['10', '10', '10']"
860,857,3,1.5,"['10', '10', '10']"
857,2037,3,0.5,"['10', '10', '10']"
2037,866,3,1.0,"['10', '10', '10']"
1811,1032,5,1.0,"['10', '39', '39', '39', '39']"
1032,140,5,0.5,"['10', '39', '39', '39', '39']"
140,796,5,0.5,"['10', '39', '39', '39', '39']"
796,1033,8,0.28571428571428575,"['10', '34', '34', '34', '39', '39', '39', '39']"
1033,1034,8,0.7142857142857144,"['10', '34', '34', '34', '39', '39', '39', '39']"
1034,1035,8,0.7142857142857144,"['10', '34', '34', '34', '39', '39', '39', '39']"
1035,1036,8,0.5714285714285714,"['10', '34', '34', '34', '39', '39', '39', '39']"
1036,2019,8,0.4285714285714287,"['10', '34', '34', '34', '39', '39', '39', '39']"
2019,1812,15,0.07142857142857145,"['10', '28', '28', '28', '31', '31', '31', '31', '39', '39', '39', '39', '94', '94', '94']"
1812,1037,15,0.9285714285714286,"['10', '28', '28', '28', '31', '31', '31', '31', '39', '39', '39', '39', '94', '94', '94']"
1037,173,8,0.0,"['10', '39', '39', '39', '39', '94', '94', '94']"
173,178,8,1.0,"['10', '39', '39', '39', '39', '94', '94', '94']"
178,1038,8,0.0,"['10', '39', '39', '39', '39', '94', '94', '94']"
1038,1039,8,0.0,"['10', '39', '39', '39', '39', '94', '94', '94']"
1039,186,8,1.0,"['10', '39', '39', '39', '39', '94', '94', '94']"
186,1040,8,0.0,"['10', '39', '39', '39', '39', '94', '94', '94']"
1040,1041,8,1.0,"['10', '39', '39', '39', '39', '94', '94', '94']"
1041,198,8,0.14285714285714285,"['10', '39', '39', '39', '39', '94', '94', '94']"
198,2091,5,0.5,"['10', '39', '39', '39', '39']"
2091,1042,5,0.5,"['10', '39', '39', '39', '39']"
1042,213,5,0.5,"['10', '39', '39', '39', '39']"
213,1051,5,0.5,"['10', '39', '39', '39', '39']"
1051,1043,5,0.5,"['10', '39', '39', '39', '39']"
1043,226,5,0.5,"['10', '39', '39', '39', '39']"
226,1732,5,0.5,"['10', '39', '39', '39', '39']"
1732,1731,5,1.0,"['10', '39', '39', '39', '39']"
1731,1813,5,0.0,"['10', '39', '39', '39', '39']"
1813,1730,5,0.5,"['10', '39', '39', '39', '39']"
1730,2133,5,0.5,"['10', '39', '39', '39', '39']"
2133,1730,5,1.0,"['10', '39', '39', '39', '39']"
1730,1813,2,0.0,"['10', '39']"
1813,1731,2,1.0,"['10', '39']"
1731,1732,2,1.0,"['10', '39']"
1732,226,2,1.0,"['10', '39']"
226,1043,2,0.0,"['10', '39']"
1043,1051,2,1.0,"['10', '39']"
1051,213,2,0.0,"['10', '39']"
213,1042,2,1.0,"['10', '39']"
1042,2091,2,0.0,"['10', '39']"
2091,198,2,1.0,"['10', '39']"
198,1041,4,0.0,"['10', '39', '94', '94']"
1041,1040,4,0.6666666666666667,"['10', '39', '94', '94']"
1040,186,4,0.33333333333333337,"['10', '39', '94', '94']"
186,1039,4,0.3333333333333333,"['10', '39', '94', '94']"
1039,1038,4,0.33333333333333337,"['10', '39', '94', '94']"
1038,178,4,0.33333333333333337,"['10', '39', '94', '94']"
178,173,4,0.6666666666666667,"['10', '39', '94', '94']"
173,1037,4,0.33333333333333337,"['10', '39', '94', '94']"
1037,1812,3,1.0,"['10', '39', '94']"
1812,2019,3,0.0,"['10', '39', '94']"
2019,1036,9,0.37500000000000006,"['10', '34', '34', '37', '37', '37', '37', '37', '39']"
1036,1035,9,0.6250000000000001,"['10', '34', '34', '37', '37', '37', '37', '37', '39']"
1035,1034,9,1.0,"['10', '34', '34', '37', '37', '37', '37', '37', '39']"
1034,1033,9,0.875,"['10', '34', '34', '37', '37', '37', '37', '37', '39']"
1033,796,9,0.25,"['10', '34', '34', '37', '37', '37', '37', '37', '39']"
796,140,7,0.8333333333333334,"['10', '37', '37', '37', '37', '37', '39']"
140,1032,7,0.16666666666666666,"['10', '37', '37', '37', '37', '37', '39']"
1032,1811,7,0.8333333333333334,"['10', '37', '37', '37', '37', '37', '39']"
1811,792,7,1.0,"['10', '37', '37', '37', '37', '37', '39']"
1918,1799,2,2.0,"['11', '11']"
1799,1798,2,1.0,"['11', '11']"
1798,1800,4,1.0,"['11', '11', '94', '94']"
1800,578,4,1.0,"['11', '11', '94', '94']"
578,544,2,1.0,"['11', '11']"
544,568,2,1.0,"['11', '11']"
568,572,2,1.0,"['11', '11']"
572,543,2,0.0,"['11', '11']"
543,567,2,1.0,"['11', '11']"
567,569,2,0.0,"['11', '11']"
569,579,2,1.0,"['11', '11']"
579,575,2,1.0,"['11', '11']"
575,1943,2,1.0,"['11', '11']"
1943,583,2,0.0,"['11', '11']"
583,565,2,1.0,"['11', '11']"
565,584,2,1.0,"['11', '11']"
584,542,2,0.0,"['11', '11']"
542,582,2,1.0,"['11', '11']"
582,581,2,0.0,"['11', '11']"
581,566,2,0.0,"['11', '11']"
566,571,2,1.0,"['11', '11']"
571,577,2,1.0,"['11', '11']"
577,545,2,0.0,"['11', '11']"
545,573,2,1.0,"['11', '11']"
573,570,2,1.0,"['11', '11']"
570,546,2,1.0,"['11', '11']"
546,574,2,0.0,"['11', '11']"
574,547,2,1.0,"['11', '11']"
547,576,2,1.0,"['11', '11']"
576,2182,2,1.0,"['11', '11']"
2182,541,2,1.0,"['11', '11']"
541,580,2,0.0,"['11', '11']"
580,539,2,2.0,"['11', '11']"
539,1494,8,1.0,"['11', '11', '48', '48', '48', '50', '50', '50']"
1494,148,2,2.0,"['11', '11']"
148,2062,2,1.0,"['11', '11']"
2062,882,9,0.5000000000000001,"['11', '11', '48', '48', '50', '50', '6', '9', '9']"
735,1358,2,0.0,"['11', '11']"
1358,1367,2,1.0,"['11', '11']"
1367,1366,2,0.0,"['11', '11']"
1366,24,2,0.0,"['11', '11']"
24,1365,2,0.0,"['11', '11']"
1365,849,2,1.0,"['11', '11']"
849,1364,2,0.0,"['11', '11']"
1364,1363,2,0.0,"['11', '11']"
1363,1362,2,1.0,"['11', '11']"
1362,1361,2,0.0,"['11', '11']"
1361,1360,2,1.0,"['11', '11']"
1360,829,2,0.0,"['11', '11']"
829,1359,2,2.0,"['11', '11']"
1359,660,2,0.0,"['11', '11']"
660,659,2,1.0,"['11', '11']"
659,658,2,1.0,"['11', '11']"
658,657,14,1.0,"['11', '11', '14', '14', '14', '15', '15', '77', '77', '77', '77', '90', '90', '90']"
657,656,14,0.8461538461538463,"['11', '11', '14', '14', '14', '15', '15', '77', '77', '77', '77', '90', '90', '90']"
656,162,14,0.38461538461538464,"['11', '11', '14', '14', '14', '15', '15', '77', '77', '77', '77', '90', '90', '90']"
162,538,14,0.6153846153846155,"['11', '11', '14', '14', '14', '15', '15', '77', '77', '77', '77', '90', '90', '90']"
538,801,16,0.8666666666666667,"['11', '11', '14', '14', '14', '15', '15', '251', '251', '77', '77', '77', '77', '90', '90', '90']"
801,622,16,1.4666666666666666,"['11', '11', '14', '14', '14', '15', '15', '251', '251', '77', '77', '77', '77', '90', '90', '90']"
622,621,16,1.0,"['11', '11', '14', '14', '14', '15', '15', '251', '251', '77', '77', '77', '77', '90', '90', '90']"
621,1723,16,1.4666666666666666,"['11', '11', '14', '14', '14', '15', '15', '251', '251', '77', '77', '77', '77', '90', '90', '90']"
1723,16,14,1.0000000000000002,"['11', '11', '14', '14', '14', '15', '15', '251', '251', '3', '3', '3', '9', '9']"
16,1523,15,0.5000000000000001,"['11', '11', '14', '14', '14', '15', '15', '251', '251', '3', '3', '3', '39', '9', '9']"
1523,809,15,1.4285714285714286,"['11', '11', '14', '14', '14', '15', '15', '251', '251', '3', '3', '3', '39', '9', '9']"
809,1538,17,0.6875,"['11', '11', '22', '22', '26', '26', '26', '26', '3', '3', '3', '45', '51', '51', '6', '9', '9']"
1538,2271,6,1.6,"['11', '11', '62', '62', '9', '9']"
2271,809,15,1.6428571428571428,"['11', '11', '11', '14', '14', '15', '15', '15', '39', '39', '39', '39', '9', '9', '9']"
809,1523,18,0.7647058823529411,"['11', '11', '11', '14', '14', '15', '15', '15', '251', '251', '251', '6', '6', '6', '6', '9', '9', '9']"
1523,16,21,0.49999999999999994,"['11', '11', '11', '14', '14', '15', '15', '15', '251', '251', '251', '3', '3', '55', '55', '55', '62', '62', '9', '9', '9']"
16,621,14,0.7692307692307692,"['11', '11', '11', '14', '14', '15', '15', '15', '251', '251', '251', '55', '55', '55']"
621,622,17,0.8125,"['11', '11', '11', '14', '14', '15', '15', '15', '251', '251', '251', '55', '55', '55', '77', '90', '90']"
622,2032,17,0.37499999999999994,"['11', '11', '11', '14', '14', '15', '15', '15', '251', '251', '251', '55', '55', '55', '77', '90', '90']"
2032,801,17,1.5,"['11', '11', '11', '14', '14', '15', '15', '15', '251', '251', '251', '55', '55', '55', '77', '90', '90']"
801,538,17,0.9999999999999999,"['11', '11', '11', '14', '14', '15', '15', '15', '251', '251', '251', '55', '55', '55', '77', '90', '90']"
538,162,13,0.33333333333333326,"['11', '11', '11', '14', '14', '15', '15', '15', '77', '8', '8', '90', '90']"
162,656,11,0.3,"['11', '11', '11', '14', '14', '15', '15', '15', '77', '90', '90']"
656,657,11,0.3,"['11', '11', '11', '14', '14', '15', '15', '15', '77', '90', '90']"
657,658,11,1.0,"['11', '11', '11', '14', '14', '15', '15', '15', '77', '90', '90']"
658,659,3,2.0,"['11', '11', '11']"
659,660,3,1.0,"['11', '11', '11']"
660,661,3,0.0,"['11', '11', '11']"
661,1359,3,1.0,"['11', '11', '11']"
1359,829,3,1.0,"['11', '11', '11']"
829,1360,3,0.0,"['11', '11', '11']"
1360,1361,3,1.0,"['11', '11', '11']"
1361,1362,3,0.0,"['11', '11', '11']"
1362,1363,3,1.0,"['11', '11', '11']"
1363,1364,3,1.0,"['11', '11', '11']"
1364,849,3,0.0,"['11', '11', '11']"
849,1365,3,1.0,"['11', '11', '11']"
1365,1366,3,0.0,"['11', '11', '11']"
1366,1367,3,1.0,"['11', '11', '11']"
1367,1358,3,0.0,"['11', '11', '11']"
1358,735,3,1.0,"['11', '11', '11']"
882,2062,9,1.375,"['11', '11', '11', '48', '48', '48', '50', '50', '50']"
2062,148,3,2.0,"['11', '11', '11']"
148,1494,3,1.0,"['11', '11', '11']"
1494,539,7,1.6666666666666667,"['11', '11', '11', '48', '48', '50', '50']"
539,580,3,1.5,"['11', '11', '11']"
580,2182,3,0.5,"['11', '11', '11']"
2182,576,3,1.0,"['11', '11', '11']"
576,547,3,0.5,"['11', '11', '11']"
547,574,3,1.0,"['11', '11', '11']"
574,546,3,0.0,"['11', '11', '11']"
546,570,3,1.0,"['11', '11', '11']"
570,573,3,0.0,"['11', '11', '11']"
573,545,3,1.0,"['11', '11', '11']"
545,577,3,1.0,"['11', '11', '11']"
577,571,3,0.0,"['11', '11', '11']"
571,566,3,1.0,"['11', '11', '11']"
566,581,3,1.0,"['11', '11', '11']"
581,582,3,0.5,"['11', '11', '11']"
582,542,3,0.5,"['11', '11', '11']"
542,584,3,0.5,"['11', '11', '11']"
584,565,3,1.0,"['11', '11', '11']"
565,583,3,1.0,"['11', '11', '11']"
583,1943,3,0.5,"['11', '11', '11']"
1943,575,3,0.5,"['11', '11', '11']"
575,579,3,1.0,"['11', '11', '11']"
579,569,3,1.0,"['11', '11', '11']"
569,567,3,0.5,"['11', '11', '11']"
567,543,3,0.5,"['11', '11', '11']"
543,572,3,0.5,"['11', '11', '11']"
572,568,3,1.0,"['11', '11', '11']"
568,544,3,1.0,"['11', '11', '11']"
544,578,3,1.0,"['11', '11', '11']"
578,1800,6,0.4,"['11', '11', '11', '94', '94', '94']"
1800,1798,6,1.0,"['11', '11', '11', '94', '94', '94']"
1798,1799,3,0.0,"['11', '11', '11']"
1799,1919,3,1.0,"['11', '11', '11']"
1919,1918,3,1.0,"['11', '11', '11']"
1777,1995,3,0.0,"['14', '14', '14']"
1995,233,3,1.0,"['14', '14', '14']"
233,2161,3,1.0,"['14', '14', '14']"
2161,2160,3,1.0,"['14', '14', '14']"
2160,614,3,1.0,"['14', '14', '14']"
614,202,3,0.0,"['14', '14', '14']"
202,2204,3,0.5,"['14', '14', '14']"
2204,2205,3,0.5,"['14', '14', '14']"
2205,2203,3,0.5,"['14', '14', '14']"
2203,2202,3,1.0,"['14', '14', '14']"
2202,2102,3,2.5,"['14', '14', '14']"
2102,2103,7,0.5000000000000001,"['14', '14', '14', '34', '34', '34', '94']"
2103,2048,7,0.6666666666666667,"['14', '14', '14', '34', '34', '34', '94']"
2048,616,7,2.0,"['14', '14', '14', '34', '34', '34', '94']"
616,191,3,0.0,"['14', '14', '14']"
191,188,3,1.0,"['14', '14', '14']"
188,182,3,0.0,"['14', '14', '14']"
182,179,3,1.0,"['14', '14', '14']"
179,175,3,0.0,"['14', '14', '14']"
175,617,3,0.0,"['14', '14', '14']"
617,2159,3,1.0,"['14', '14', '14']"
2159,1929,3,1.0,"['14', '14', '14']"
1929,2158,3,0.0,"['14', '14', '14']"
2158,1928,3,1.0,"['14', '14', '14']"
1928,618,3,0.0,"['14', '14', '14']"
618,2143,3,1.0,"['14', '14', '14']"
2143,615,3,0.5,"['14', '14', '14']"
615,613,3,0.5,"['14', '14', '14']"
613,609,3,1.0,"['14', '14', '14']"
609,610,3,0.5,"['14', '14', '14']"
610,605,3,0.5,"['14', '14', '14']"
605,107,3,0.5,"['14', '14', '14']"
107,611,3,0.5,"['14', '14', '14']"
611,608,3,0.5,"['14', '14', '14']"
608,612,3,0.0,"['14', '14', '14']"
612,1010,3,1.0,"['14', '14', '14']"
1010,1008,3,1.0,"['14', '14', '14']"
1008,1007,3,0.0,"['14', '14', '14']"
1007,1983,3,1.0,"['14', '14', '14']"
1983,77,3,0.0,"['14', '14', '14']"
77,759,3,1.0,"['14', '14', '14']"
759,1005,3,0.0,"['14', '14', '14']"
1005,1004,3,1.0,"['14', '14', '14']"
1004,1003,3,1.0,"['14', '14', '14']"
1003,746,3,0.0,"['14', '14', '14']"
746,1002,3,0.0,"['14', '14', '14']"
1002,32,3,1.0,"['14', '14', '14']"
32,20,3,0.0,"['14', '14', '14']"
20,388,3,1.0,"['14', '14', '14']"
388,384,3,0.0,"['14', '14', '14']"
384,859,3,1.0,"['14', '14', '14']"
859,1017,3,0.0,"['14', '14', '14']"
1017,1016,3,2.0,"['14', '14', '14']"
1016,1015,3,0.0,"['14', '14', '14']"
1015,1014,7,1.0,"['14', '14', '14', '2', '2', '2', '2']"
1014,1013,3,0.5,"['14', '14', '14']"
1013,1018,3,0.5,"['14', '14', '14']"
1018,1012,3,0.5,"['14', '14', '14']"
1012,1011,3,1.0,"['14', '14', '14']"
1011,1019,3,0.0,"['14', '14', '14']"
1019,824,5,0.5,"['14', '14', '14', '16', '16']"
824,1693,3,1.0,"['14', '14', '14']"
1693,1692,3,1.0,"['14', '14', '14']"
1692,1691,3,1.0,"['14', '14', '14']"
1691,812,3,1.0,"['14', '14', '14']"
812,658,12,0.0,"['14', '14', '14', '15', '15', '77', '77', '77', '77', '90', '90', '90']"
809,1524,5,2.0,"['14', '14', '14', '15', '15']"
1524,2271,20,0.5789473684210529,"['14', '14', '15', '15', '15', '22', '22', '22', '26', '45', '45', '45', '45', '51', '51', '51', '71', '71', '71', '71']"
658,812,8,0.4285714285714287,"['14', '14', '15', '15', '15', '77', '90', '90']"
812,1691,2,4.0,"['14', '14']"
1691,1692,2,0.0,"['14', '14']"
1692,1693,2,1.0,"['14', '14']"
1693,824,2,1.0,"['14', '14']"
824,1019,2,0.0,"['14', '14']"
1019,1011,2,1.0,"['14', '14']"
1011,1012,2,0.0,"['14', '14']"
1012,1018,2,1.0,"['14', '14']"
1018,1013,2,0.0,"['14', '14']"
1013,1014,2,1.0,"['14', '14']"
1014,1015,3,0.0,"['14', '14', '2']"
1015,1016,2,1.0,"['14', '14']"
1016,1017,2,1.0,"['14', '14']"
1017,384,2,1.0,"['14', '14']"
384,388,2,0.0,"['14', '14']"
388,20,2,1.0,"['14', '14']"
20,32,2,0.0,"['14', '14']"
32,1002,2,1.0,"['14', '14']"
1002,746,2,0.0,"['14', '14']"
