,index,stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,geometry,closest_hospital_distance,closest_grocery_distance,closest_park_distance,closest_bar_distance,closest_worship_distance,closest_mcdonalds_distance,closest_starbucks_distance,nearby_stops,near_hospital,near_grocery,near_park,near_bar,near_worship,near_mcdonalds,near_starbucks,total_population,white_population,black_population,asian_population,total_housing_units,owner_occupied_units,rentor_occupied_units,population_over_age_25,has_bachelors_degree,has_masters_degree,has_professional_degree,state,county,tract,block group,has_doctorate,total_income_known,income_to_poverty_above_200,vehicles,total_population_percent,white_population_percent,black_population_percent,asian_population_percent,total_housing_units_percent,owner_occupied_units_percent,rentor_occupied_units_percent,population_over_age_25_percent,has_bachelors_degree_percent,has_masters_degree_percent,has_professional_degree_percent,has_doctorate_percent,total_income_known_percent,income_to_poverty_above_200_percent,vehicles_percent,less_than_a_bachelors_degree,less_than_a_bachelors_degree_percent,income_to_poverty_under_200,income_to_poverty_under_200_percent,routes
10,18,16009,16009,120 Portola Dr,37.74897,-122.44396,,,https://www.sfmta.com/16009,,,,0,,POINT (-122.44396 37.74897),2024.0277922497364,1416.20634899767,521.3040834135073,1059.7349817290824,550.1355822476223,3880.277363395063,923.3732003282564,"['16009', '16008', '13712', '13713', '17685', '18067', '17020']",False,False,False,False,False,False,False,1052,681,0,183,678,228,450,990,432,91,54,6,75,20402,1,53,1052,808,709.0,1.0,0.6473384030418251,0.0,0.1739543726235741,1.0,0.336283185840708,0.6637168141592921,1.0,0.4363636363636363,0.0919191919191919,0.0545454545454545,0.0535353535353535,1.0,0.7680608365019012,0.6739543726235742,360,0.3636363636363636,244,0.2319391634980988,"{""'10455800'""}"
11,19,15513,15513,126 Miraloma Dr,37.737744,-122.461458,,,https://www.sfmta.com/15513,,,,0,,POINT (-122.461458 37.737744),2839.048259008903,755.2824199175774,2224.4400969943963,559.3976906218281,787.0815246874711,2068.1723940795505,684.4502148389872,"['15513', '15514']",False,False,False,False,False,False,False,986,908,11,51,223,85,138,926,512,235,37,6,75,30800,2,18,986,947,443.0,1.0,0.920892494929006,0.011156186612576,0.0517241379310344,1.0,0.3811659192825112,0.6188340807174888,1.0,0.5529157667386609,0.25377969762419,0.0399568034557235,0.019438444924406,1.0,0.960446247464503,0.4492900608519269,124,0.1339092872570194,39,0.0395537525354969,"{""'10455800'""}"
12,20,13247,13247,14th Ave & Quintara St,37.748878,-122.470706,,,https://www.sfmta.com/13247,,,,0,,POINT (-122.470706 37.748878),2081.468483895105,1073.524749838704,2223.918969639236,838.6436360294177,657.9964484520688,2550.813382908465,1046.4128233534632,"['13247', '13265', '16171', '16170']",False,False,False,False,False,False,False,1363,522,37,453,438,307,131,1061,487,125,134,6,75,30302,3,4,1363,1159,814.0,1.0,0.3829787234042553,0.0271460014673514,0.3323550990462215,1.0,0.7009132420091324,0.2990867579908676,1.0,0.4590009425070688,0.117813383600377,0.1262959472196041,0.003770028275212,1.0,0.8503301540719003,0.5972120322817315,337,0.3176248821866164,204,0.1496698459280998,"{""'10455800'""}"
13,21,13248,13248,14th Ave & Santiago St,37.74503,-122.4703,,,https://www.sfmta.com/13248,,,,0,,POINT (-122.4703 37.74503),2485.4356425717056,544.0425608005077,1787.593883375028,533.7632444394297,113.66556898840427,2002.5156172146824,527.7187953223633,"['13248', '13249', '16467']",False,False,False,False,True,False,False,864,493,18,249,342,295,47,688,271,144,127,6,75,30400,2,16,864,838,651.0,1.0,0.5706018518518519,0.0208333333333333,0.2881944444444444,1.0,0.8625730994152047,0.1374269005847953,1.0,0.3938953488372093,0.2093023255813953,0.1845930232558139,0.0232558139534883,1.0,0.9699074074074074,0.7534722222222222,130,0.188953488372093,26,0.0300925925925925,"{""'10455800'""}"
14,23,13250,13250,14th Ave & Taraval St,37.74317,-122.47017,,,https://www.sfmta.com/13250,,,,0,,POINT (-122.47017 37.74317),2646.900868359763,357.00804125720214,1638.2929316006826,367.5111532842258,90.26202741073628,1812.421761494684,368.930924069692,"['13249', '13250', '13252', '13251', '13266', '13267', '18111']",False,True,False,True,True,False,True,1753,869,0,802,663,467,196,1421,362,246,54,6,75,30800,5,18,1753,1615,1029.0,1.0,0.4957216200798631,0.0,0.45750142612664,1.0,0.7043740573152338,0.2956259426847662,1.0,0.2547501759324419,0.1731175228712174,0.0380014074595355,0.0126671358198451,1.0,0.9212778094694808,0.5869937250427838,774,0.5446868402533427,138,0.0787221905305191,"{""'10455800'""}"
15,26,13253,13253,14th St & Alpine Ter,37.767296,-122.437213,,,https://www.sfmta.com/13253,,,,0,,POINT (-122.437213 37.767296),1765.6674946610574,695.4643879070777,1547.3388349072875,423.4562325634851,761.5352729368665,3908.518308541206,707.5538749706699,"['13253', '13257', '13256', '13820', '14307', '14308', '16232', '17310']",False,False,False,False,False,False,False,856,668,13,60,417,203,214,784,359,177,112,6,75,17000,1,12,856,823,487.0,1.0,0.780373831775701,0.0151869158878504,0.0700934579439252,1.0,0.486810551558753,0.513189448441247,1.0,0.4579081632653061,0.2257653061224489,0.1428571428571428,0.0153061224489795,1.0,0.9614485981308412,0.5689252336448598,124,0.1581632653061224,33,0.0385514018691588,"{""'10455800'""}"
16,29,13255,13255,14th St & Church St,37.76767,-122.42913,,,https://www.sfmta.com/13255,,,,0,,POINT (-122.42913 37.76767),2047.4381087943768,221.8417959167929,1987.9336754216456,39.00599661538581,472.33511671856473,3232.299315369115,100.20134037196644,"['13255', '13254', '14006', '17074', '18059', '17073', '18061', '14448', '15661', '18062', '15662', '15726', '16998']",False,True,False,True,False,False,True,830,442,49,152,537,51,486,796,319,149,25,6,75,16900,2,56,809,621,173.0,1.0,0.5325301204819277,0.0590361445783132,0.1831325301204819,1.0,0.0949720670391061,0.905027932960894,1.0,0.4007537688442211,0.1871859296482412,0.0314070351758793,0.0703517587939698,1.0,0.7676143386897404,0.208433734939759,256,0.321608040201005,188,0.2323856613102596,"{""'10455800'""}"
17,31,13259,13259,14th St & Noe St,37.7674,-122.43356,,,https://www.sfmta.com/13259,,,,0,,POINT (-122.43356 37.7674),1764.624003887728,554.6459477183645,1784.7637583099813,337.9030940430693,538.1300919287603,3641.549995657904,574.4334868274846,"['13259', '13258', '14451']",False,False,False,True,False,False,False,1375,1098,9,157,656,322,334,1067,443,251,92,6,75,16900,1,7,1375,1217,539.0,1.0,0.7985454545454546,0.0065454545454545,0.1141818181818181,1.0,0.4908536585365853,0.5091463414634146,1.0,0.4151827553889409,0.2352389878163074,0.0862230552952202,0.0065604498594189,1.0,0.885090909090909,0.392,274,0.2567947516401124,158,0.1149090909090909,"{""'10455800'""}"
18,33,13260,13260,14th St & Sanchez St,37.76767,-122.431105,,,https://www.sfmta.com/13260,,,,0,,POINT (-122.431105 37.76767),2063.903596177896,462.6558161939118,1881.264212142444,183.5952220685758,570.3787571014966,3525.5884367063622,341.3207790618199,"['13260', '13261', '15690']",False,False,False,True,False,False,True,830,442,49,152,537,51,486,796,319,149,25,6,75,16900,2,56,809,621,173.0,1.0,0.5325301204819277,0.0590361445783132,0.1831325301204819,1.0,0.0949720670391061,0.905027932960894,1.0,0.4007537688442211,0.1871859296482412,0.0314070351758793,0.0703517587939698,1.0,0.7676143386897404,0.208433734939759,256,0.321608040201005,188,0.2323856613102596,"{""'10455800'""}"
19,35,15835,15835,150 Otis St,37.771594,-122.420422,,,https://www.sfmta.com/15835,,,,0,,POINT (-122.420422 37.771594),2731.459536850761,799.7126616197284,2163.6602368414474,231.7240939520844,275.4094426833128,2219.781673148508,491.5477717196887,"['15835', '15546', '17870', '15836']",False,False,False,True,True,False,False,1424,638,271,192,709,320,389,1264,494,142,63,6,75,20101,1,0,1424,1164,482.0,1.0,0.4480337078651685,0.1903089887640449,0.1348314606741573,1.0,0.4513399153737659,0.5486600846262342,1.0,0.3908227848101265,0.1123417721518987,0.0498417721518987,0.0,1.0,0.8174157303370787,0.3384831460674157,565,0.4469936708860759,260,0.1825842696629213,"{""'10455800'""}"
20,36,13262,13262,15th Ave & Noriega St,37.75411,-122.47217,,,https://www.sfmta.com/13262,,,,0,,POINT (-122.47217 37.75411),1950.8733778289416,1363.1649856211525,2600.9580004607,428.9495150120975,856.6431963404183,2958.9673078412834,1050.9649327200934,"['13262', '13263', '13278', '15739']",False,False,False,False,False,False,False,1126,454,32,502,488,388,100,949,268,128,90,6,75,30302,1,60,1116,1019,912.0,1.0,0.4031971580817051,0.0284191829484902,0.4458259325044404,1.0,0.7950819672131147,0.2049180327868852,1.0,0.2824025289778714,0.1348788198103266,0.0948366701791359,0.0632244467860906,1.0,0.9130824372759856,0.8099467140319716,403,0.4246575342465753,97,0.0869175627240143,"{""'10455800'""}"
21,38,13264,13264,15th Ave & Pacheco St,37.75081,-122.47196,,,https://www.sfmta.com/13264,,,,0,,POINT (-122.47196 37.75081),2142.943191160204,1114.4911393738785,2343.689342237906,623.0576094838253,859.431361620348,2709.3593957319063,1337.16074338277,"['13264', '13280']",False,False,False,False,False,False,False,1363,522,37,453,438,307,131,1061,487,125,134,6,75,30302,3,4,1363,1159,814.0,1.0,0.3829787234042553,0.0271460014673514,0.3323550990462215,1.0,0.7009132420091324,0.2990867579908676,1.0,0.4590009425070688,0.117813383600377,0.1262959472196041,0.003770028275212,1.0,0.8503301540719003,0.5972120322817315,337,0.3176248821866164,204,0.1496698459280998,"{""'10455800'""}"
