,,update_count,driving_time,routes
1578,1178,2,1.0,"('25', '78')"
135,1780,2,1.0,"('25', '26')"
1780,138,2,0.0,"('25', '26')"
598,1872,3,1.0,"('25', '26', '22')"
1437,809,2,0.0,"('26', '22')"
1539,697,2,3.0,"('26', '71')"
697,1970,2,1.0,"('26', '71')"
2139,700,2,0.0,"('26', '71')"
703,704,1,0.0,"('26',)"
704,684,1,1.0,"('26',)"
2257,391,2,1.0,"('45', '51')"
391,353,2,0.0,"('45', '51')"
2246,2245,1,0.0,"('45',)"
2245,1933,1,1.0,"('45',)"
915,912,1,2.0,"('45',)"
696,1524,2,4.0,"('45', '51')"
2271,1523,3,2.0,"('45', '51', '62')"
1538,696,1,4.0,"('22',)"
1613,1143,1,1.0,"('22',)"
1146,1147,1,0.0,"('22',)"
1127,1113,3,0.5,"('22', '83', '86')"
1113,1127,2,1.0,"('22', '83')"
703,1617,1,1.0,"('71',)"
1620,1621,1,0.0,"('71',)"
29,1,2,1.0,"('71', '54')"
1,1973,2,0.0,"('71', '54')"
1336,327,2,0.0,"('71', '86')"
327,1331,2,1.0,"('71', '86')"
2244,2243,1,2.0,"('71',)"
412,639,2,0.0,"('83', '55')"
639,61,1,1.0,"('83',)"
711,85,1,0.0,"('83',)"
1159,1128,2,0.0,"('83', '86')"
1128,1127,2,1.0,"('83', '86')"
1371,1822,1,1.0,"('90',)"
1822,1823,1,0.0,"('90',)"
864,812,1,12.0,"('90',)"
538,801,2,1.0,"('90', '55')"
621,1723,2,2.0,"('90', '55')"
1446,621,1,1.0,"('77',)"
812,300,1,11.0,"('77',)"
300,301,1,0.0,"('77',)"
444,2036,2,0.0,"('77', '54')"
1991,1992,1,1.0,"('16',)"
1992,1990,1,2.0,"('16',)"
830,825,1,0.0,"('16',)"
981,974,2,1.0,"('16', '2')"
237,973,2,0.0,"('16', '2')"
2113,2112,2,2.0,"('16', '2')"
1413,1978,1,1.0,"('54',)"
1978,2093,1,2.0,"('54',)"
1959,265,1,0.0,"('54',)"
451,452,2,1.0,"('54', '53')"
452,468,2,0.0,"('54', '53')"
72,67,1,1.0,"('78',)"
63,57,1,2.0,"('78',)"
1178,1578,1,0.0,"('78',)"
285,1414,1,4.0,"('78',)"
2196,514,2,1.0,"('78', '86')"
1187,841,1,1.0,"('2',)"
843,560,1,0.0,"('2',)"
2083,2026,2,0.0,"('2', '18')"
1816,49,1,1.0,"('86',)"
49,54,1,0.0,"('86',)"
2096,2196,1,5.0,"('86',)"
713,1176,1,0.0,"('18',)"
1176,1183,1,1.0,"('18',)"
2043,2039,1,2.0,"('18',)"
2246,326,1,0.0,"('51',)"
331,2092,1,1.0,"('51',)"
247,1304,2,0.0,"('51', '53')"
1304,1308,2,2.0,"('51', '53')"
1298,1324,2,1.0,"('51', '53')"
2154,2155,1,0.0,"('53',)"
2155,2156,1,1.0,"('53',)"
1324,484,1,10.0,"('53',)"
484,1278,2,1.0,"('53', '251')"
1278,12,2,0.0,"('53', '251')"
1538,1279,1,0.0,"('55',)"
1066,642,1,8.0,"('55',)"
638,385,1,1.0,"('55',)"
640,643,1,2.0,"('55',)"
2249,1538,1,1.0,"('62',)"
1843,2226,1,1.0,"('251',)"
2225,2224,1,0.0,"('251',)"
1296,1840,1,2.0,"('251',)"
358,484,1,33.0,"('251',)"
