,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,geometry,routes
235,00658,,DETROIT RD & BRICK MILL RUN RD,,41.471444,-81.873783,,,0,,0,POINT (-81.873783 41.471444),
236,00659,,DETROIT RD & BRICK MILL RUN RD,,41.471527,-81.874126,,,0,,0,POINT (-81.874126 41.471527),
237,00660,,230 S GREEN RD,,41.543827,-81.533588,,,0,,0,POINT (-81.533588 41.543827),"('2',)"
238,00662,,23000 ST. CLAIR AV,,41.585793,-81.521303,,,0,,0,POINT (-81.521303 41.585793),
239,00663,,23000 ST. CLAIR AV,,41.585893,-81.521034,,,0,,0,POINT (-81.521034 41.585893),
240,00664,,23050 EUCLID AV,,41.574305,-81.521313,,,0,,0,POINT (-81.521313 41.574305),
241,00670,,LAKESHORE BLVD & E 232ND ST,,41.61386,-81.520266,,,0,,0,POINT (-81.520266 41.61386),
242,00676,,23239 LORAIN RD,,41.43534,-81.878328,,,0,,0,POINT (-81.878328 41.43534),
243,00677,,23239 LORAIN RD,,41.435534,-81.878309,,,0,,0,POINT (-81.878309 41.435534),
244,00681,,23300 EUCLID AV,,41.575606,-81.51913,,,0,,0,POINT (-81.51913 41.575606),
245,00683,,23305 CHAGRIN BLVD,,41.464605,-81.513938,,,0,,0,POINT (-81.513938 41.464605),
246,00685,,23300 CHAGRIN BLVD,,41.464396,-81.514559,,,0,,0,POINT (-81.514559 41.464396),
247,00690,,23400 EMERY RD,,41.435196,-81.513906,,,0,,0,POINT (-81.513906 41.435196),"('53',)"
248,00696,,23500 ST. CLAIR AV,,41.587056,-81.516505,,,0,,0,POINT (-81.516505 41.587056),
249,00697,,23500 ST. CLAIR AV,,41.586762,-81.516974,,,0,,0,POINT (-81.516974 41.586762),
250,00700,,23540 LAKESHORE BLVD,,41.614541,-81.518355,,,0,,0,POINT (-81.518355 41.614541),
251,00707,,23600 EMERY RD,,41.435195,-81.512389,,,0,,0,POINT (-81.512389 41.435195),
252,00708,,23600 EMERY RD,,41.435067,-81.512716,,,0,,0,POINT (-81.512716 41.435067),
253,00711,,23700 CHAGRIN BLVD,,41.464414,-81.512485,,,0,,0,POINT (-81.512485 41.464414),
254,00717,,23811 CHAGRIN BLVD,,41.464482,-81.511132,,,0,,0,POINT (-81.511132 41.464482),
255,00719,,23880 FAIRMOUNT BLVD,,41.486234,-81.511072,,,0,,0,POINT (-81.511072 41.486234),
256,00720,,23900 FAIRMOUNT BLVD,,41.486421,-81.510758,,,0,,0,POINT (-81.510758 41.486421),
257,00727,,24018 DETROIT RD,,41.471465,-81.886538,,,0,,0,POINT (-81.886538 41.471465),"('15',)"
258,00730,,24100 CHAGRIN BLVD,,41.464409,-81.508743,,,0,,0,POINT (-81.508743 41.464409),
259,00732,,24110 EUCLID AV,,41.577441,-81.515835,,,0,,0,POINT (-81.515835 41.577441),
260,00739,,24200 CENTER RIDGE RD,,41.458114,-81.88909,,,0,,0,POINT (-81.88909 41.458114),
261,00740,,24231 CENTER RIDGE RD,,41.458074,-81.889142,,,0,,0,POINT (-81.889142 41.458074),
262,00744,,24307 EMERY RD,,41.435189,-81.507274,,,0,,0,POINT (-81.507274 41.435189),
263,00748,,LAKESHORE BLVD & E 246TH ST,,41.617018,-81.512178,,,0,,0,POINT (-81.512178 41.617018),
264,00753,,24600 DETROIT RD,,41.470773,-81.894281,,,0,,0,POINT (-81.894281 41.470773),
265,00757,,CHAGRIN BLVD & FIRE STATION DR,,41.464543,-81.504545,,,0,,0,POINT (-81.504545 41.464543),
266,00766,,LAKESHORE BLVD & E 248TH ST,,41.617651,-81.510485,,,0,,0,POINT (-81.510485 41.617651),
267,00767,,24819 EMERY RD,,41.435187,-81.502927,,,0,,0,POINT (-81.502927 41.435187),
268,00768,,24840 EMERY RD,,41.435061,-81.503332,,,0,,0,POINT (-81.503332 41.435061),
269,00776,,2502 CEDAR AV,,41.498576,-81.670677,,,0,,0,POINT (-81.670677 41.498576),
270,00782,,2514 CEDAR AV,,41.498494,-81.670656,,,0,,0,POINT (-81.670656 41.498494),
271,00786,,25200 CHAGRIN BLVD,,41.464393,-81.50042,,,0,,0,POINT (-81.50042 41.464393),
272,00787,,25201 CHAGRIN BLVD,,41.46452,-81.501106,,,0,,0,POINT (-81.501106 41.46452),
273,00789,,25220 FAIRMOUNT BLVD,,41.48618,-81.500533,,,0,,0,POINT (-81.500533 41.48618),
274,00795,,2536 KEMPER RD,,41.489286,-81.590324,,,0,,0,POINT (-81.590324 41.489286),
275,00796,,2538 KEMPER RD,,41.489427,-81.590476,,,0,,0,POINT (-81.590476 41.489427),
276,00800,,MARTIN LUTHER KING DR & FAIRHILL RD,,41.492913,-81.601739,,,0,,0,POINT (-81.601739 41.492913),
277,00801,,MARTIN LUTHER KING DR & WOODSTOCK AV,,41.490055,-81.601928,,,0,,0,POINT (-81.601928 41.490055),
278,00802,,MARTIN LUTHER KING DR & WOODLAND AV,,41.488746,-81.602332,,,0,,0,POINT (-81.602332 41.488746),
279,00808,,FAIRMOUNT BLVD & RICHMOND RD,,41.486367,-81.49878,,,0,,0,POINT (-81.49878 41.486367),
280,00817,,25759 DETROIT RD,,41.469757,-81.904743,,,0,,0,POINT (-81.904743 41.469757),
281,00820,,25776 CENTER RIDGE RD,,41.454926,-81.905781,,,0,,0,POINT (-81.905781 41.454926),
282,00821,,25850 DETROIT RD (WINFIELD COMMONS APTS),,41.469827,-81.90483,,,0,,0,POINT (-81.90483 41.469827),
283,00822,,25717 LAKESHORE BLVD,,41.620366,-81.503857,,,0,,0,POINT (-81.503857 41.620366),
284,00825,,25900 EUCLID AV,,41.586684,-81.503684,,,0,,0,POINT (-81.503684 41.586684),
285,00829,,DETROIT RD & COBBLESTONE CHASE,,41.469376,-81.908158,,,0,,0,POINT (-81.908158 41.469376),
286,00832,,ST. CLAIR AV & E 26TH ST,,41.511652,-81.674165,,,0,,0,POINT (-81.674165 41.511652),"('50',)"
287,00834,,27100 CHAGRIN BLVD,,41.462288,-81.486586,,,0,,0,POINT (-81.486586 41.462288),
288,00838,,CENTER RIDGE RD & RADCLIFFE DR,,41.453913,-81.908972,,,0,,0,POINT (-81.908972 41.453913),
289,00842,,EUCLID AV & RICHMOND RD,,41.588316,-81.501581,,,0,,0,POINT (-81.501581 41.588316),
290,00846,,2626 NORTH MORELAND BLVD,,41.486256,-81.590279,,,0,,0,POINT (-81.590279 41.486256),
291,00854,,WARRENSVILLE CTR RD & N PARK BLVD,,41.487399,-81.536149,,,0,,0,POINT (-81.536149 41.487399),"('9',)"
292,00855,,EUCLID AV & RICHMOND RD,,41.587819,-81.501952,,,0,,0,POINT (-81.501952 41.587819),
293,00856,,DETROIT RD & MARVIEW DR,,41.468341,-81.914515,,,0,,0,POINT (-81.914515 41.468341),
294,00858,,CHARDON RD & BRUSHVIEW DR,,41.577599,-81.494198,,,0,,0,POINT (-81.494198 41.577599),
295,00869,,FARGO AV TURNAROUND,,41.418563,-81.490992,,,0,,0,POINT (-81.490992 41.418563),
296,00873,,DETROIT RD & MENDELSSOHN DR,,41.467822,-81.918422,,,0,,0,POINT (-81.918422 41.467822),
297,00884,,27026 CENTER RIDGE RD,,41.450235,-81.919877,,,0,,0,POINT (-81.919877 41.450235),
298,00885,,26971 CHARDON RD,,41.580389,-81.491644,,,0,,0,POINT (-81.491644 41.580389),
299,00887,,LAKESHORE BLVD & E 270TH ST,,41.623271,-81.496837,,,0,,0,POINT (-81.496837 41.623271),
300,00895,,27333 CENTER RIDGE RD(WESTLAKE PORTER LIBRARY),,41.448526,-81.924384,,,0,,0,POINT (-81.924384 41.448526),
301,00896,,27350 EUCLID AV,,41.593158,-81.493075,,,0,,0,POINT (-81.493075 41.593158),
302,00897,,27366 DETROIT RD,,41.466823,-81.924046,,,0,,0,POINT (-81.924046 41.466823),
303,00898,,27366 DETROIT RD,,41.466945,-81.924122,,,0,,0,POINT (-81.924122 41.466945),
304,00899,,27350 CENTER RIDGE RD,,41.448647,-81.924366,,,0,,0,POINT (-81.924366 41.448647),
305,00902,,27460 CENTER RIDGE RD,,41.447894,-81.926425,,,0,,0,POINT (-81.926425 41.447894),
306,00903,,27470 CENTER RIDGE RD,,41.447812,-81.926379,,,0,,0,POINT (-81.926379 41.447812),
