,,update_count,driving_time,routes
662,683,16,0.7711111111111112,"['10B', '10B', '10B', '10B', '10B', '23A', '23A', '23B', '23B', '23B', '23B', '23B', '23T', '23T', '23T', '23T']"
683,728,16,1.2266666666666672,"['10B', '10B', '10B', '10B', '10B', '23A', '23A', '23B', '23B', '23B', '23B', '23B', '23T', '23T', '23T', '23T']"
728,756,16,1.0411111111111113,"['10B', '10B', '10B', '10B', '10B', '23A', '23A', '23B', '23B', '23B', '23B', '23B', '23T', '23T', '23T', '23T']"
756,799,5,0.7333333333333334,"['10B', '10B', '10B', '10B', '10B']"
799,843,5,0.8541666666666667,"['10B', '10B', '10B', '10B', '10B']"
862,904,5,0.6083333333333334,"['10B', '10B', '10B', '10B', '10B']"
904,936,5,0.7416666666666667,"['10B', '10B', '10B', '10B', '10B']"
936,963,5,0.9166666666666667,"['10B', '10B', '10B', '10B', '10B']"
963,953,5,0.3916666666666667,"['10B', '10B', '10B', '10B', '10B']"
953,946,5,0.6583333333333333,"['10B', '10B', '10B', '10B', '10B']"
946,937,5,0.525,"['10B', '10B', '10B', '10B', '10B']"
937,958,16,0.7211111111111111,"['10B', '10B', '10B', '10B', '10B', '23A', '23A', '23B', '23B', '23B', '23B', '23B', '23T', '23T', '23T', '23T']"
958,984,16,1.4855555555555557,"['10B', '10B', '10B', '10B', '10B', '23A', '23A', '23B', '23B', '23B', '23B', '23B', '23T', '23T', '23T', '23T']"
984,1007,16,0.6288888888888889,"['10B', '10B', '10B', '10B', '10B', '23A', '23A', '23B', '23B', '23B', '23B', '23B', '23T', '23T', '23T', '23T']"
1007,1027,16,0.4944444444444445,"['10B', '10B', '10B', '10B', '10B', '23A', '23A', '23B', '23B', '23B', '23B', '23B', '23T', '23T', '23T', '23T']"
1027,3709,10,1.551851851851852,"['10B', '10B', '10B', '10B', '10B', '23B', '23B', '23B', '23B', '23B']"
1282,1309,11,0.345,"['11Y', '11Y', '16Y', '16Y', '16Y', '3Y', '3Y', '3Y', '42', '42', '42']"
