,stop_id,trip_sequence,trip_id,route_id,stop_name,route_name,minute_delay,oid_max,actual_arrival_time_max,actual_arrival_time_min,planned_arrival_seconds_since_midnight_max,planned_arrival_seconds_since_midnight_min
183,13362,5,11429280_M11,28,19th Ave & Junipero Serra Blvd,28,0.5,910328,2023-12-07 17:36:08.000000,2023-12-07 17:12:08.000000,63337.0,61897.0
184,13363,35,11429178_M11,28,19th Ave & Junipero Serra Blvd,28,0.0,910307,2023-12-07 17:09:39.000000,2023-12-07 17:09:39.000000,61928.0,61928.0
185,13364,8,11429423_M11,28R,19th Ave & Judah St,28R,0.0,910354,2023-12-07 17:21:00.000000,2023-12-07 16:57:00.000000,62700.0,61260.0
186,13364,17,11429277_M11,28,19th Ave & Judah St,28,0.0,901282,2023-12-07 17:06:17.000000,2023-12-07 17:06:17.000000,61776.0,61776.0
187,13365,6,11429362_M11,28R,19th Ave & Judah St,28R,2.866666666666667,910341,2023-12-07 17:38:11.000000,2023-12-07 17:14:11.000000,63360.0,61860.0
188,13365,23,11429179_M11,28,19th Ave & Judah St,28,0.0,910309,2023-12-07 17:15:03.000000,2023-12-07 17:03:03.000000,62217.0,61497.0
189,13368,16,11429277_M11,28,19th Ave & Lawton St,28,0.0,910326,2023-12-07 17:16:14.000000,2023-12-07 17:04:14.000000,62384.0,61664.0
190,13369,24,11429179_M11,28,19th Ave & Lawton St,28,0.0,910309,2023-12-07 17:16:25.000000,2023-12-07 17:04:25.000000,62322.0,61602.0
191,13371,21,11429179_M11,28,19th Ave & Lincoln Way,28,0.0,910309,2023-12-07 17:13:11.000000,2023-12-07 17:01:11.000000,62100.0,61380.0
192,13374,7,11429424_M11,28R,19th Ave & Noriega St,28R,0.0,910355,2023-12-07 17:29:55.000000,2023-12-07 17:05:55.000000,63223.0,61783.0
193,13374,15,11429277_M11,28,19th Ave & Noriega St,28,0.0,910326,2023-12-07 17:14:58.000000,2023-12-07 17:02:58.000000,62271.0,61551.0
194,13375,7,11429361_M11,28R,19th Ave & Noriega St,28R,1.85,910341,2023-12-07 17:40:22.000000,2023-12-07 17:04:22.000000,63559.0,61339.0
195,13375,25,11429179_M11,28,19th Ave & Noriega St,28,0.0,910309,2023-12-07 17:17:47.000000,2023-12-07 17:05:47.000000,62439.0,61719.0
196,13379,14,11429277_M11,28,19th Ave & Ortega St,28,0.0,910326,2023-12-07 17:14:14.000000,2023-12-07 17:02:14.000000,62223.0,61503.0
197,13380,26,11429179_M11,28,19th Ave & Ortega St,28,0.0,910308,2023-12-07 17:06:36.000000,2023-12-07 17:06:36.000000,61774.0,61774.0
198,13383,6,11429424_M11,28R,19th Ave & Quintara St,28R,0.0,910355,2023-12-07 17:28:13.000000,2023-12-07 17:04:13.000000,63068.0,61628.0
199,13383,13,11429277_M11,28,19th Ave & Quintara St,28,0.0,910326,2023-12-07 17:12:56.000000,2023-12-07 17:00:56.000000,62096.0,61376.0
200,13384,8,11429361_M11,28R,19th Ave & Quintara St,28R,1.05,910341,2023-12-07 17:42:06.000000,2023-12-07 17:06:06.000000,63709.0,61489.0
201,13384,27,11429179_M11,28,19th Ave & Quintara St,28,0.0,910308,2023-12-07 17:07:55.000000,2023-12-07 17:07:55.000000,61886.0,61886.0
202,13385,11,11417709_M11,M,19th Ave & Randolph St,M,0.0,910162,2023-12-07 17:07:37.000000,2023-12-07 17:07:37.000000,61758.0,61758.0
203,13388,12,11429277_M11,28,19th Ave & Rivera St,28,0.0,910326,2023-12-07 17:12:16.000000,2023-12-07 17:00:16.000000,62055.0,61335.0
204,13389,28,11429179_M11,28,19th Ave & Rivera St,28,0.0,910308,2023-12-07 17:08:47.000000,2023-12-07 17:08:47.000000,61940.0,61940.0
205,13390,31,11429178_M11,28,19th Ave & Sloat Blvd,28,0.0,910308,2023-12-07 17:13:10.000000,2023-12-07 17:01:10.000000,62280.0,61500.0
206,13391,9,11429279_M11,28,19th Ave & Sloat Blvd,28,0.0,910327,2023-12-07 17:19:55.000000,2023-12-07 17:07:55.000000,62400.0,61680.0
207,13394,5,11429424_M11,28R,19th Ave & Taraval St,28R,0.0,910355,2023-12-07 17:26:27.000000,2023-12-07 17:02:27.000000,62929.0,61489.0
208,13394,11,11429277_M11,28,19th Ave & Taraval St,28,0.0,910327,2023-12-07 17:22:43.000000,2023-12-07 16:58:43.000000,62659.0,61219.0
209,13395,9,11429361_M11,28R,19th Ave & Taraval St,28R,0.6,910340,2023-12-07 17:30:58.000000,2023-12-07 17:07:58.000000,63021.0,61641.0
210,13395,29,11429178_M11,28,19th Ave & Taraval St,28,0.0,910308,2023-12-07 17:10:12.000000,2023-12-07 16:58:12.000000,62055.0,61275.0
211,13398,10,11429279_M11,28,19th Ave & Vicente St,28,0.0,910327,2023-12-07 17:21:25.000000,2023-12-07 17:09:25.000000,62545.0,61825.0
212,13399,30,11429178_M11,28,19th Ave & Vicente St,28,0.0,910308,2023-12-07 17:11:31.000000,2023-12-07 16:59:31.000000,62161.0,61381.0
213,13402,4,11429425_M11,28R,19th Ave & Winston Dr,28R,0.0,910355,2023-12-07 17:21:32.000000,2023-12-07 17:09:32.000000,62500.0,61780.0
214,13402,7,11429279_M11,28,19th Ave & Winston Dr,28,0.5666666666666668,910328,2023-12-07 17:40:37.000000,2023-12-07 17:04:37.000000,63586.0,61453.0
215,13404,23,11429734_M11,57,20th Ave & Buckingham Way,57,0.2,910370,2023-12-07 17:14:26.000000,2023-12-07 17:14:26.000000,62057.0,62057.0
216,13405,8,11429683_M11,57,20th Ave & Buckingham Way,57,0.0,910364,2023-12-07 17:28:36.000000,2023-12-07 17:08:36.000000,62932.0,61732.0
217,13406,22,11429734_M11,57,20th Av/Macy'S Stonestown,57,0.0,910370,2023-12-07 17:13:30.000000,2023-12-07 17:13:30.000000,62016.0,62016.0
218,13408,2,11397366_M11,18,20th Ave & Winston Dr,18,0.9333333333333332,909969,2023-12-07 17:31:37.000000,2023-12-07 17:09:31.000000,63036.0,61716.0
219,13408,21,11429734_M11,57,20th Ave & Winston Dr,57,0.0,910370,2023-12-07 17:12:13.000000,2023-12-07 17:12:13.000000,61965.0,61965.0
220,13409,10,11429683_M11,57,20th Ave & Winston Dr,57,1.1,910364,2023-12-07 17:31:35.000000,2023-12-07 17:11:35.000000,63028.0,61828.0
221,13410,1,11410207_M11,55,20th St & 3rd St,55,0.0,909958,1969-12-31 16:00:00.000000,1969-12-31 16:00:00.000000,63600.0,61200.0
222,13410,15,11410115_M11,55,20th St & 3rd St,55,5.8,909951,2023-12-07 17:24:46.000000,2023-12-07 17:24:46.000000,62340.0,62340.0
223,13414,5,11403720_M11,35,20th St & Collingwood St,35,0.7,909622,2023-12-07 17:33:19.000000,2023-12-07 17:03:19.000000,63158.0,61358.0
224,13415,6,11403720_M11,35,20th St & Eureka St,35,0.7,909622,2023-12-07 17:34:03.000000,2023-12-07 17:04:03.000000,63200.0,61400.0
225,13424,29,11403766_M11,35,21st St & Douglass St,35,0.1,909627,2023-12-07 17:08:43.000000,2023-12-07 17:08:43.000000,61719.0,61719.0
226,13425,19,11392434_M11,7,22nd Ave & Irving St,7,0.0,909248,2023-12-07 17:12:15.000000,2023-12-07 17:00:15.000000,61985.0,61265.0
227,13426,18,11392434_M11,7,22nd Ave & Judah St,7,0.0,909248,2023-12-07 17:11:12.000000,2023-12-07 16:59:12.000000,61923.0,61203.0
228,13427,17,11392434_M11,7,22nd Ave & Kirkham St,7,0.0,909247,2023-12-07 17:10:31.000000,2023-12-07 17:10:31.000000,61872.0,61872.0
229,13428,16,11392434_M11,7,22nd Ave & Lawton St,7,0.0,909247,2023-12-07 17:09:56.000000,2023-12-07 17:09:56.000000,61821.0,61821.0
230,13429,20,11392434_M11,7,22nd Ave & Lincoln Way,7,0.0,909248,2023-12-07 17:13:05.000000,2023-12-07 17:01:05.000000,62027.0,61307.0
231,13430,15,11392434_M11,7,22nd Ave & Moraga St,7,0.0,909247,2023-12-07 17:09:18.000000,2023-12-07 17:09:18.000000,61770.0,61770.0
232,13431,14,11392433_M11,7,22nd Ave & Noriega St,7,0.2,909247,2023-12-07 17:20:42.000000,2023-12-07 17:08:42.000000,62417.0,61726.0
233,13435,3,11410209_M11,55,22nd St & Iowa St,55,0.0,909958,2023-12-07 17:02:42.000000,2023-12-07 17:02:42.000000,61380.0,61380.0
234,13436,2,11410209_M11,55,22nd St & Minnesota St,55,0.0,909958,2023-12-07 17:01:26.000000,2023-12-07 17:01:26.000000,61315.0,61315.0
235,13437,13,11410115_M11,55,22nd St & Minnesota St,55,4.1,909951,2023-12-07 17:21:41.000000,2023-12-07 17:21:41.000000,62253.0,62253.0
236,13439,12,11410115_M11,55,22nd St & Pennsylvania Ave,55,3.9,909951,2023-12-07 17:20:54.000000,2023-12-07 17:20:54.000000,62220.0,62220.0
237,13441,35,11392350_M11,7,23rd Ave & Irving St,7,0.1,909237,2023-12-07 17:06:18.000000,2023-12-07 17:06:18.000000,61573.0,61573.0
238,13442,36,11392350_M11,7,23rd Ave & Judah St,7,0.1,909237,2023-12-07 17:07:00.000000,2023-12-07 17:07:00.000000,61612.0,61612.0
239,13443,37,11392350_M11,7,23rd Ave & Kirkham St,7,0.1,909237,2023-12-07 17:07:42.000000,2023-12-07 17:07:42.000000,61659.0,61659.0
240,13444,38,11392350_M11,7,23rd Ave & Lawton St,7,0.0,909237,2023-12-07 17:08:22.000000,2023-12-07 17:08:22.000000,61707.0,61707.0
241,13445,34,11392350_M11,7,23rd Ave & Lincoln Way,7,0.0,909237,2023-12-07 17:05:22.000000,2023-12-07 17:05:22.000000,61525.0,61525.0
242,13446,39,11392350_M11,7,23rd Ave & Moraga St,7,0.0,909237,2023-12-07 17:09:02.000000,2023-12-07 17:09:02.000000,61754.0,61754.0
243,13447,40,11392350_M11,7,23rd Ave & Noriega St,7,0.0,909237,2023-12-07 17:09:51.000000,2023-12-07 17:09:51.000000,61801.0,61801.0
244,13452,30,11397663_M11,19,23rd St & Rhode Island St,19,0.0,909463,2023-12-07 17:16:41.000000,2023-12-07 17:01:41.000000,62235.0,61335.0
245,13453,14,11430149_M11,48,23rd St & Utah St,48,0.0,910381,2023-12-07 17:01:11.000000,2023-12-07 17:01:11.000000,61289.0,61289.0
246,13455,13,11430149_M11,48,23rd St & Vermont St,48,0.0,910381,2023-12-07 17:00:34.000000,2023-12-07 17:00:34.000000,61252.0,61252.0
247,13458,16,11430149_M11,48,24th St & Bryant St,48,0.0,910381,2023-12-07 17:05:04.000000,2023-12-07 17:05:04.000000,61509.0,61509.0
248,13460,24,11430148_M11,48,24th St & Church St,48,1.6,890781,2023-12-07 17:02:22.000000,2023-12-07 17:02:22.000000,61249.0,61249.0
249,13463,41,11430232_M11,48,24th St & Castro St,48,0.0,884747,2023-12-07 17:05:01.000000,2023-12-07 17:05:01.000000,61560.0,61560.0
250,13465,11,11403721_M11,35,24th St & Diamond St,35,0.8,909622,2023-12-07 17:08:23.000000,2023-12-07 17:08:23.000000,61653.0,61653.0
251,13468,24,11403766_M11,35,24th St & Douglass St,35,1.0,909627,2023-12-07 17:05:48.000000,2023-12-07 17:05:48.000000,61486.0,61486.0
252,13469,18,11430149_M11,48,24th St & Folsom St,48,0.0,910381,2023-12-07 17:08:10.000000,2023-12-07 17:08:10.000000,61688.0,61688.0
253,13473,17,11430149_M11,48,24th St & Harrison St,48,0.0,910381,2023-12-07 17:06:44.000000,2023-12-07 17:06:44.000000,61609.0,61609.0
